"kind","etag","items__kind","items__etag","items__id","items__snippet__channelId","items__snippet__title","items__snippet__assignable"
"youtube#videoCategoryListResponse","""XI7nbFXulYBIpL0ayR_gDh3eu1k/1v2mrzYSYG6onNLt2qTj13hkQZk""","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/Xy1mB4_yLrHy_BmKmPBggty2mZQ""","1","UCBR8-60-B28hp2BmDPdntcQ","Film & Animation","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","2","UCBR8-60-B28hp2BmDPdntcQ","Autos & Vehicles","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/nqRIq97-xe5XRZTxbknKFVe5Lmg""","10","UCBR8-60-B28hp2BmDPdntcQ","Music","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/HwXKamM1Q20q9BN-oBJavSGkfDI""","15","UCBR8-60-B28hp2BmDPdntcQ","Pets & Animals","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/9GQMSRjrZdHeb1OEM1XVQ9zbGec""","17","UCBR8-60-B28hp2BmDPdntcQ","Sports","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/FJwVpGCVZ1yiJrqZbpqe68Sy_OE""","18","UCBR8-60-B28hp2BmDPdntcQ","Short Movies","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/M-3iD9dwK7YJCafRf_DkLN8CouA""","19","UCBR8-60-B28hp2BmDPdntcQ","Travel & Events","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/WmA0qYEfjWsAoyJFSw2zinhn2wM""","20","UCBR8-60-B28hp2BmDPdntcQ","Gaming","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/EapFaGYG7K0StIXVf8aba249tdM""","21","UCBR8-60-B28hp2BmDPdntcQ","Videoblogging","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/xId8RX7vRN8rqkbYZbNIytUQDRo""","22","UCBR8-60-B28hp2BmDPdntcQ","People & Blogs","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/G9LHzQmx44rX2S5yaga_Aqtwz8M""","23","UCBR8-60-B28hp2BmDPdntcQ","Comedy","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/UVB9oxX2Bvqa_w_y3vXSLVK5E_s""","24","UCBR8-60-B28hp2BmDPdntcQ","Entertainment","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/QiLK0ZIrFoORdk_g2l_XR_ECjDc""","25","UCBR8-60-B28hp2BmDPdntcQ","News & Politics","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/r6Ck6Z0_L0rG37VJQR200SGNA_w""","26","UCBR8-60-B28hp2BmDPdntcQ","Howto & Style","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/EoYkczo9I3RCf96RveKTOgOPkUM""","27","UCBR8-60-B28hp2BmDPdntcQ","Education","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/w5HjcTD82G_XA3xBctS30zS-JpQ""","28","UCBR8-60-B28hp2BmDPdntcQ","Science & Technology","True"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/lL7uWDr_071CHxifjYG1tJrp4Uo""","30","UCBR8-60-B28hp2BmDPdntcQ","Movies","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/WnuVfjO-PyFLO7NTRQIbrGE62nk""","31","UCBR8-60-B28hp2BmDPdntcQ","Anime/Animation","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/ctpH2hGA_UZ3volJT_FTlOg9M00""","32","UCBR8-60-B28hp2BmDPdntcQ","Action/Adventure","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/L0kR3-g1BAo5UD1PLVbQ7LkkDtQ""","33","UCBR8-60-B28hp2BmDPdntcQ","Classics","False"
"","","youtube#videoCategory","""XI7nbFXulYBIpL0ayR_gDh3eu1k/pUZOAC_s9sfiwar639qr_wAB-aI""","34","UCBR8-60-B28hp2BmDPdntcQ","Comedy","False"
